Name,City,STATE,Greatest Snowfall,GreatestEndingDate,ValidDateRange,1 days QTY,1 days DATE,2 days QTY,2 days DATE,3 days QTY,3 days DATE,First 2 inches
JUNEAU INTL AP,Juneau,AK,212.1,12/31/1994, 1936-11-01 to 2017-06-06,30.6,3/21/1948,38.6,4/3/1963,42.4,4/3/1963,10/2/2000
YAKUTAT AP,Yakutat,AK,400.6,12/31/1975, 1917-04-01 to 2017-06-06,30,3/11/1960,36,3/12/1960,40.4,3/28/1992,10/1/1974
BETHEL AP,Bethel,AK,149.5,12/31/1951, 1923-09-01 to 2017-05-31,17.6,1/3/1952,23.1,1/3/1952,33.2,1/5/1952,9/19/1948
ANCHORAGE TED STEVENS INTL AP,Anchorage,AK,171.6,12/31/1955,1953-02-01 to 2017-06-06,22,3/17/2002,29,12/29/1955,33,12/29/1955,9/25/2004
MCGRATH AP,Mcgrath,AK,196.6,12/31/1990, 1939-04-01 to 2017-06-06,16.2,1/3/2005,21,11/10/1985,22.1,11/11/1985,9/17/1992
FAIRBANKS INTL AP,Fairbanks,AK,146.2,12/31/1992, 1929-12-01 to 2017-06-06,16,2/11/1966,26.9,2/12/1966,34.6,2/13/1966,9/12/1992
BETTLES AP,Bettles,AK,147.5,12/31/1993, 1951-05-01 to 2017-06-06,19,1/22/1965,23.8,1/28/1973,25.9,1/29/1973,8/9/1969
BARROW W POST-W ROGERS AP,Barrow,AK,107.3,12/31/1916, 1901-09-01 to 2017-06-06,15,10/26/1926,16.5,10/27/1926,17.1,10/28/1926,8/15/1929
KODIAK AP,Kodiak,AK,178.9,12/31/1956, 1931-01-01 to 2017-06-05,21.5,1/7/1947,22.4,3/23/1956,28.7,3/22/1956,10/12/1961
BIRMINGHAM AP,Birmingham,AL,13,12/31/1993, 1930-01-01 to 2017-06-06,10.3,3/13/1993,13,3/13/1993,13,3/14/1993,12/11/1944
HUNTSVILLE INTL AP,Huntsville,AL,24,12/31/1963, 1937-12-01 to 2017-06-06,15.7,12/31/1963,17.1,1/1/1964,17.1,1/2/1964,11/2/1966
MOBILE RGNL AP,Mobile,AL,3.6,12/31/1973, 1948-01-01 to 2017-06-05,3.6,2/9/1973,3.6,2/10/1973,3.6,2/11/1973,12/31/1963
MONTGOMERY AP,Montgomery,AL,6,12/31/1977, 1948-01-01 to 2017-06-06,3.8,3/13/1993,3.8,3/14/1993,3.8,3/15/1993,1/18/1977
HOT SPRINGS ASOS,Hot Springs,AR,13.9,12/31/1988, 1986-05-27 to 2017-06-06,8,1/27/2000,11,1/7/1988,11,1/8/1988,12/13/2000
LITTLE ROCK AP ADAMS FLD,Little Rock,AR,32.6,12/31/1960, 1879-07-01 to 2017-06-06,11.3,1/5/1960,13,1893-01-18,13,1893-01-19,11/9/1892
FT SMITH RGNL AP,Ft Smith,AR,21.9,12/31/1978, 1945-09-27 to 2017-06-06,11,1/27/2000,11.3,1/7/1988,11.6,1/7/1988,11/2/1951
FAYETTEVILLE DRAKE FLD,Fayetteville,AR,27,12/31/2010, 1949-07-14 to 2017-06-06,14.6,2/9/2011,15,3/12/1968,15,3/13/1968,11/6/1951
PHOENIX SKY HARBOR INTL AP,Phoenix,AZ,0.6,12/31/1939, 1933-07-01 to 2017-06-06,0.4,2/2/1939,0.4,12/22/1990,0.4,12/23/1990,
PRESCOTT LOVE FLD,Prescott,AZ,51.6,12/31/1949, 1948-01-01 to 2017-06-05,17,12/14/1967,25,12/14/1967,32,12/15/1967,11/12/1985
WINSLOW MUNI AP,Winslow,AZ,40.4,12/31/1967, 1893-01-01 to 2017-06-05,19,12/11/1923,27.9,12/14/1967,30,12/15/1967,10/30/1972
FLAGSTAFF PULLIAM AP,Flagstaff,AZ,184.3,12/31/1965, 1893-01-01 to 2017-06-06,28,1895-01-16,52,1895-01-16,64,1895-01-17,9/19/1965
TAHOE CITY,Tahoe City,CA,499.3,12/31/1952, 1904-02-01 to 2017-06-02,42,4/3/1958,81,1/13/1911,117,1/13/1911,
EUREKA WFO WOODLEY ISLAND,Eureka,CA,6.9,12/31/1907, 1900-01-01 to 2017-06-06,3.4,1/13/1907,4.8,1/14/1907,5.9,1/15/1907,
BIG BEAR LAKE,Big Bear Lake,CA,154.5,12/31/1982, 1960-07-01 to 2017-06-06,30.5,12/15/2008,46,2/1/1979,54,2/2/1979,
SANTA BARBARA MUNI AP,Santa Barbara,CA,0,12/31/2017, 1941-01-02 to 2017-06-06,0,6/6/2017,0,6/7/2017,0,6/7/2017,
SAN FRANCISCO DWTN,San Francisco,CA,3.7,1887-12-31, 1876-01-01 to 2017-06-02,3.7,1887-02-05,3.7,1887-02-06,3.7,1887-02-07,
SACRAMENTO EXECUTIVE AP,Sacramento,CA,2,12/31/1976, 1941-11-10 to 2017-06-05,2,2/5/1976,2,2/6/1976,2,2/7/1976,2/5/1976
TRUCKEE AP,Truckee,CA,150.8,12/31/2017, 2000-01-01 to 2017-06-06,25,12/7/2009,41,12/8/2009,41,12/9/2009,9/21/2004
MAMMOTH LAKES RS,Mammoth Lakes,CA,356.8,12/31/2010, 1993-12-09 to 2017-05-28,42,1/2/2006,68,12/20/2010,90,12/20/2010,
REDDING MUNI AP,Redding,CA,17,12/31/1988, 1986-09-01 to 2017-06-05,10,12/24/1988,10,12/25/1988,10,12/26/1988,12/24/1988
LOS ANGELES DOWNTOWN/USC,Los Angeles,CA,2,12/31/1932, 1877-12-01 to 2017-06-06,2,1/15/1932,2,1/16/1932,2,1/17/1932,
DENVER INTL AP,Denver,CO,74.1,12/31/2013, 1995-03-01 to 2017-06-06,17.4,12/20/2006,20.7,12/21/2006,20.7,12/22/2006,10/17/2006
GRAND JUNCTION WALKER FLD,Grand Junction,CO,55.7,12/31/1948, 1900-01-01 to 2017-06-06,14,11/27/1919,22,11/27/1919,23.5,11/28/1919,9/18/1965
ALAMOSA SAN LUIS AP,Alamosa,CO,69.1,12/31/1973, 1948-01-01 to 2017-06-06,15.8,12/13/1967,20.3,12/3/1964,21.4,12/15/1967,10/3/1959
PUEBLO MEM AP,Pueblo,CO,72.4,12/31/1990, 1954-06-16 to 2017-06-06,16,11/14/1985,17.6,4/30/1990,18.8,5/1/1990,9/17/1971
COLORADO SPRINGS MUNI AP,Colorado Springs,CO,96.4,12/31/1957, 1948-04-01 to 2017-06-06,22,1/15/1987,23.5,1/16/1987,28.5,10/1/1959,9/3/1961
DENVER STAPLETON,Denver,CO,112,12/31/1959, 1948-01-01 to 2017-06-06,23.6,12/24/1982,29.5,3/19/2003,31.8,3/20/2003,
HARTFORD-BRADLEY INTL AP,Hartford,CT,88.2,12/31/1967, 1949-01-01 to 2017-06-06,24,1/12/2011,24,1/13/2011,24,1/14/2011,10/29/2011
Bridgeport Area,Bridgeport,CT,68.5,12/31/2003, 1948-07-01 to 2017-06-06,18.5,2/8/2013,30,2/9/2013,30,2/10/2013,10/29/2011
WILMINGTON NEW CASTLE CO AP,Wilmington,DE,57,1/1/2010,1948-01-01 to 2017-06-06,22,1/7/1996,25.8,2/6/2010,25.8,2/7/2010,11/6/1953
FT MYERS PAGE FLD AP,Ft Myers,FL,0,12/31/2017, 1907-04-28 to 2017-06-05,,,,,,,
KEY WEST INTL AP,Key West,FL,0,12/31/2017, 1948-01-01 to 2017-06-06,,,,,,,
PENSACOLA RGNL AP,Pensacola,FL,2.5,12/31/1977, 1948-07-01 to 2017-06-05,2.3,3/6/1954,2.3,3/7/1954,2.3,3/8/1954,3/6/1954
COLUMBUS METRO AP,Columbus,GA,14,12/31/1973, 1948-01-01 to 2017-06-06,11,2/9/1973,14,2/10/1973,14,2/11/1973,2/9/1973
